# What a character means inside the words of these stories.
#   字 syllable | syllable | meaning   this character in this reading, any word
#   字@word     | syllable | meaning   this character inside this one word
# Anything not listed falls back to the dictionary's first sense for the
# reading; `python build/build_stories.py --report file` lists those.

名@名校 | míng | famous
发@出发 | fā | to set out
发@发黄 | fā | to turn (a colour)
发@发白 | fā | to turn (a colour)
发@突发 | fā | to break out
发 fa | fa | hair
阿 ā | ā | (prefix for relatives)
姨 yí | yí | aunt
眼 yǎn | yǎn | eye
头 tou | tou | (noun suffix)
头@一年到头 | tóu | end
头@开头 | tóu | beginning
照@照片 | zhào | to shine; to photograph
照@照顾 | zhào | to look after
照@照例 | zhào | according to
片 piàn | piàn | flat piece
会@会议 | huì | to meet (会议 = meeting)
会@学会 | huì | to master
会@机会 | huì | occasion (机会 = chance)
议 yì | yì | to discuss
麻 má | má | (麻烦 = trouble)
着@着急 | zháo | to feel (着急 = anxious)
着@睡着 | zháo | (after a verb) to succeed in (睡着 = to fall asleep)
着 zhe | zhe | (verb suffix)
留 liú | liú | to stay; to keep
留@留意 | liú | to keep (留意 = to pay attention)
哪 nǎ | nǎ | which; where
聊 liáo | liáo | to chat
别 bié | bié | other
别@特别 | bié | special
游 yóu | yóu | to swim
游@旅游 | yóu | to travel
其 qí | qí | its; that
呼@呼吸 | hū | to breathe out
吸@吸引 | xī | to draw in
周@周末 | zhōu | week
末 mò | mò | end
信@相信 | xìn | to believe
户 hu | hu | (part of 窗户 window)
封 fēng | fēng | envelope; to seal
出 chu | chu | (after a verb) out
城 chéng | chéng | city
了 le | le | (verb suffix)
了@了解 | liǎo | to understand
故 gù | gù | past (故事 = story)
那 nà | nà | that
池@电池 | chí | cell (电池 = battery)
法 fǎ | fǎ | method; way
纸 zhǐ | zhǐ | paper
白 bai | bai | clear (明白 = to understand)
毕 bì | bì | to finish
由 yóu | yóu | from; due to
几 jī | jī | almost (几乎)
乎 hū | hū | (suffix: 几乎 = almost, 似乎 = seemingly)
任 rèn | rèn | any
切 qiè | qiè | all (一切 = everything)
面@面包 | miàn | flour (面包 = bread)
面@面包店 | miàn | flour (面包 = bread)
面@面试 | miàn | face to face
面@面试官 | miàn | face to face
面@背面 | miàn | side
面@面临 | miàn | to face
包@面包 | bāo | bun (面包 = bread)
包@面包店 | bāo | bun (面包 = bread)
包@大包小包 | bāo | bag
板@老板 | bǎn | (老板 = boss)
热 rè | rè | hot; warm
住 zhu | zhu | (after a verb) firmly
住 zhù | zhù | (after a verb) firmly
既 jì | jì | since (既然)
差@差点 | chà | short of (差点 = nearly)
点 diǎn | diǎn | a little; point
点@晚点 | diǎn | time (晚点 = behind schedule)
论 lùn | lùn | to discuss (无论 = no matter)
居 jū | jū | to live
历 lì | lì | history; record
张@紧张 | zhāng | tense
建 jiàn | jiàn | to propose
提 tí | tí | to lift; to bring up
提@提前 | tí | to move (提前 = ahead of time)
咖 kā | kā | (咖啡 = coffee)
啡 fēi | fēi | (咖啡 = coffee)
录 lù | lù | to record; to admit
才 cái | cái | just (刚才 = just now)
解 jiě | jiě | to explain; to understand
确 què | què | true; certain
态 tài | tài | attitude; manner
度 dù | dù | degree; manner
花@花白 | huā | mixed (花白 = grey)
便 biàn | biàn | convenient
节 jié | jié | festival
娘 niang | niang | girl; young woman
纪 jì | jì | age; era
之 zhī | zhī | (literary 的: of)
突 tū | tū | sudden
即 jí | jí | even (即使 = even if)
使 shǐ | shǐ | if (即使 = even if)
云@云南 | Yún | cloud (云南 = south of the clouds)
划 huà | huà | to plan
犹 yóu | yóu | (犹豫 = to hesitate)
豫 yù | yù | (犹豫 = to hesitate)
望 wàng | wàng | to hope; to gaze
况 kuàng | kuàng | situation
况@何况 | kuàng | moreover
理 lǐ | lǐ | to put in order
相@相册 | xiàng | photo
部 bù | bù | part
分@大部分 | fen | part
分@生分 | fen | (生分 = distant)
合 hé | hé | together
装 zhuāng | zhuāng | clothing
笔 bǐ | bǐ | pen; stroke
迹 jì | jì | trace
模 mó | mó | (模糊 = blurred)
糊 hu | hu | (模糊 = blurred)
联 lián | lián | to link
亲@亲手 | qīn | personally
案@答案 | àn | (答案 = answer)
程 chéng | chéng | process
象 xiàng | xiàng | image (想象 = to imagine)
许@许多 | xǔ | (许多 = many)
等@三等奖 | děng | grade; class
待@待遇 | dài | to treat
固 gù | gù | admittedly (固然)
梦 mèng | mèng | dream
旦 dàn | dàn | day (一旦 = once)
及 jí | jí | to reach
阔 kuò | kuò | wide
代 dài | dài | to replace
落@角落 | luò | place (角落 = corner)
文 wén | wén | writing
应 yīng | yīng | should (应该)
企 qǐ | qǐ | enterprise
遇 yù | yù | treatment (待遇)
与 yǔ | yǔ | and; with
研 yán | yán | to study
究 jiū | jiū | to investigate
意 yì | yì | idea; wish
济 jì | jì | to help (经济 = economy)
条 tiáo | tiáo | item; condition
专 zhuān | zhuān | special
个 gè | gè | (measure word)
个@个子 | gè | (个子 = height)
导 dǎo | dǎo | to guide
对@对此 | duì | towards
对@对面 | duì | opposite
费 fèi | fèi | fee
情 qing | qing | (事情 = matter)
博 bó | bó | extensive (博物馆 = museum)
格 gé | gé | (格外 = especially)
者 zhě | zhě | (或者 = or)
英 Yīng | Yīng | English (英语)
毫 háo | háo | (毫无 = not at all)
琴 qín | qín | (string) instrument; piano
凡 fán | fán | all; every
统 tǒng | tǒng | unified
奖 jiǎng | jiǎng | prize
奖@夸奖 | jiǎng | to praise
逐 zhú | zhú | gradually (逐渐)
快@快乐 | kuài | happy
带 dài | dài | to bring
往@往常 | wǎng | past
往@往日 | wǎng | past
足@不足 | zú | enough
修 xiū | xiū | to repair
表 biǎo | biǎo | watch
铺 pù | pù | shop
陋 lòu | lòu | crude
木 mù | mù | wood(en)
丝 sī | sī | thread (螺丝 = screw)
刀 dāo | dāo | knife; blade
戴 dài | dài | to wear
镜 jìng | jìng | lens; glass
屏 bǐng | bǐng | to hold (one's breath)
仿 fǎng | fǎng | as if
佛 fú | fú | as if (仿佛)
缩 suō | suō | to shrink
寸 cùn | cùn | inch
若 ruò | ruò | if
日 rì | rì | day
益 yì | yì | increasingly
行 háng | háng | trade
妨 fáng | fáng | (不妨 = might as well)
摆 bǎi | bǎi | to swing (停摆 = to stop ticking)
辗 zhǎn | zhǎn | (辗转 = going from place to place)
零 líng | líng | small (parts)
产 chǎn | chǎn | to produce
复 fù | fù | to restore; again
端 duān | duān | (端详 = to look at carefully)
置 zhì | zhì | to express (未置可否)
泛 fàn | fàn | to turn (a colour)
执 zhí | zhí | to insist
摆 bai | bai | to wave
酬 chóu | chóu | payment
刻 kè | kè | moment
廓 kuò | kuò | outline
画@一笔一画 | huà | stroke
辆 liàng | liàng | vehicle
团@团聚 | tuán | to unite
昏 hūn | hūn | dim
熟 shú | shú | familiar
悉 xī | xī | to know
线 xiàn | xiàn | line; route
河 hé | hé | river
喇 lǎ | lǎ | (喇叭 = horn)
叭 ba | ba | (喇叭 = horn)
胡 hú | hú | (二胡: fiddle from the northern peoples)
蒙 méng | méng | misty
契 qì | qì | to agree; to fit
尝 cháng | cháng | ever (何尝 / 未尝)
恢 huī | huī | (恢复 = to recover)
偶 ǒu | ǒu | occasional
尔 ěr | ěr | (偶尔 = occasionally)
腊 là | là | twelfth lunar month
距 jù | jù | distance
山 shān | shān | mountain
播 bō | bō | to broadcast
列 liè | liè | row (列车 = train)
焦 jiāo | jiāo | anxious
番 fān | fān | time; occasion (此番 = this time)
迈 mài | mài | old (年迈 = aged)
崭 zhǎn | zhǎn | brand-new (崭新)
绒 róng | róng | fluff; down
丈 zhàng | zhàng | husband (丈夫)
晌 shǎng | shǎng | (半晌 = a long while)
神 shén | shén | look; spirit (眼神)
疚 jiù | jiù | guilt
厢 xiāng | xiāng | carriage; compartment
谓 wèi | wèi | to call (所谓 = so-called)
抵 dǐ | dǐ | to arrive
过 guo | guo | (after a verb) over
响 xiǎng | xiǎng | loud
青 qīng | qīng | young (青春 = youth)
耿 gěng | gěng | (耿耿于怀 = to brood over)
抢 qiǎng | qiǎng | to rush
典 diǎn | diǎn | ceremony
礼 lǐ | lǐ | ceremony
送@目送 | sòng | to see off
后 hòu | hòu | after; behind
业 yè | yè | course of study; trade
是 shì | shì | to be
是 shi | shi | to be
不 bù | bù | not
轰 hōng | hōng | boom; rumble
烈 liè | liè | fierce; blazing
